,DELVE_kNN,DELVE_k-means,DELVE_RBF,DELVE_GMM
Int_Med_GSK3b_nuc,0.5379552187044311,0.7401659761334347,0.9987892498190887,0.8256975674787125
Int_Med_CDK4_nuc,0.5385974656513159,0.7098999117687278,0.9997877402509202,0.8955829259540459
Int_Med_pp21_nuc,0.5633409931511854,0.680309039536574,0.9983889424662057,0.7194638474293091
Int_Med_p38_nuc,0.5689198418927888,0.7574248786672887,0.9990207267392187,0.8547931366411915
Int_Med_p27_nuc,0.5753485427589092,0.6759490575685447,0.9988425617416339,0.7008366099287178
Int_Med_pp53_nuc,0.5809095668556407,0.7253229326058096,0.9983473370172197,0.8130345181592018
Int_Med_pp38_nuc,0.5982328699954276,0.7838098919152403,0.998864268184949,0.8539800084739149
Int_Med_cycA_cell,0.6044927063680483,0.7088803144219816,0.9983114111676826,0.7293842715952094
Int_Med_ERK_nuc,0.6083215508442832,0.8067460113935919,0.9995513926243758,0.8587176251470371
Int_Med_CDK2_cell,0.6124740659989627,0.800734912184354,0.9993868316016403,0.8191228181988885
Int_Med_p16_nuc,0.6171203602423444,0.7510360390139632,0.9985858028878061,0.8555107390205635
Int_Med_CDK2_cyto,0.6226887443458781,0.8071597827772601,0.999456785288458,0.8549622953928327
Int_Med_CDK2_ring,0.6226887443458781,0.8071597827772601,0.999456785288458,0.8549622953928327
Int_Med_cMyc_nuc,0.6324144869099007,0.8342652812293854,0.9991167348735877,0.7898006064588953
Int_MeanEdge_ERK_cell,0.6372336760319668,0.8301467921478075,0.999651512339019,0.8134374172377404
Int_MeanEdge_CDK2_cell,0.6383644150266008,0.8019350526694647,0.999643373685758,0.8064400094277006
Int_Med_S6_nuc,0.6703936458047541,0.837753177441504,0.9995329551954542,0.9175510138586304
Int_Med_cFos_nuc,0.6745642210319499,0.8168601633033791,0.998915596984295,0.9005663346444774
Int_Med_cycE_nuc,0.6787183332701594,0.7969106811884378,0.9994044610768541,0.9361731005663884
Int_Med_CDK6_nuc,0.6796427350476439,0.8187367401864483,0.998616154784521,0.8616017401957586
Int_Med_ERK_cell,0.6881600090443731,0.8481185463103695,0.999131900689512,0.8201555150924459
Int_Med_Fra1_ring,0.693702538765535,0.827999878751333,0.9993564510183973,0.803802743914326
Int_Med_Fra1_cyto,0.693702538765535,0.827999878751333,0.9993564510183973,0.803802743914326
Int_Med_bCat_nuc,0.697779199989698,0.8631079844791222,0.9993153057370217,0.9035361714085737
Int_MeanEdge_YAP_cell,0.699375490969565,0.8684712740984141,0.9997670679646922,0.8626003426701037
Int_Med_pS6_cell,0.7021080793436052,0.8676938699768656,0.9991084158961633,0.8591023405631674
Int_MeanEdge_pS6_cell,0.7135597379679712,0.8770418333200196,0.9997183743607239,0.839337069739144
Int_Med_ERK_cyto,0.7139927675393787,0.8611990052644599,0.9992699901987844,0.8575067314903274
Int_Med_ERK_ring,0.7139927675393787,0.8611990052644599,0.9992699901987844,0.8575067314903274
Int_Med_cycD1_cell,0.7191908955643721,0.8555669457620039,0.9994443083647904,0.8455601045624971
Int_Med_pS6_ring,0.724641642325868,0.8833920591072015,0.9992196534784323,0.876052987428759
Int_Med_pS6_cyto,0.724641642325868,0.8833920591072015,0.9992196534784323,0.876052987428759
Int_Med_pAKT_nuc,0.7285028499132956,0.8852127337262008,0.9998221982534601,0.9207418387699873
Int_Med_cycD1_ring,0.7292240407521997,0.8569096943573553,0.9994655568035821,0.8574102163305921
Int_Med_cycD1_cyto,0.7292240407521997,0.8569096943573553,0.9994655568035821,0.8574102163305921
Int_Med_p53_nuc,0.7304593409324192,0.8276769462228187,0.9992160549805681,0.9050986354964138
Int_Med_p21_cell,0.7381436613955993,0.8755896431816846,0.9996086073177328,0.8312061118748068
Int_Med_pS6_nuc,0.7394233474931093,0.8743440687185953,0.9995462273018145,0.9126676204535806
Int_Med_p21_cyto,0.747208928368626,0.8664764952105293,0.9995499968775675,0.8551842072347887
